Row,NERR Site ID ,Station Code,Station Name,Lat Long,Latitude , Longitude, Status, Active Dates, State, Reserve Name,Real Time,HADS ID,GMT Offset,Station Type,Region,isSWMP,Parameters Reported
425,ace                                               ,aceeiwq   ,Edisto Island                           ,32° 30' 14.40 N - 80° 19' 28.92 W,32.5040,80.32470,Active    ,Jan 2015-,SC        ,Ashepoo Combahee Edisto Basin                     ,R         ,3B011824  ,-5        ,1,2,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,pH,Turb,cLevel,Depth,cDepth"
426,ace                                               ,aceeinut  ,Edisto Island                           ,32° 30' 14.40 N - 80° 19' 28.92 W,32.5040,80.3247,Active    ,Jan 2015-,SC        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,2,2,P,"PO4F,NH4F,NO23F,CHLA_N,DIN,TN,TP"
436,ace                                               ,acegpwq   ,Grove Plantation                        ,32° 29' 49.32 N - 80° 24' 46.80 W,32.6637,80.4130,Active    ,Jan 2015-,SC        ,Ashepoo Combahee Edisto Basin                     ,R         ,3B04B1CE  ,-5        ,1,2,S,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
437,ace                                               ,acejiwq   ,Jehossee Island                         ,32° 29' 49.32 N - 80° 24' 46.80 W,32.6209,80.3965,Active    ,Jan 2015-,SC        ,Ashepoo Combahee Edisto Basin                     ,,,-5        ,1,2,S,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
493,ace                                               ,acefjwq   ,Fort Johnson                            ,32° 45' 11.98 N - 79° 53' 56.37 W,32.753327,79.898991,Active    ,Jul 2020-,SC        ,Ashepoo Combahee Edisto Basin                     ,R         ,3B008FBC  ,-5        ,1,2,S,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor"
478,apa                                               ,apapcwq   ,Pilots Cove                             ,29° 36' 3.60 N - 85° 01' 39.72 W,29.6010,85.0277,Active    ,Jan 2017-,FL        ,Apalachicola Bay                                  ,,,-5        ,1,4,S,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth,cDepth"
479,apa                                               ,apalmwq   ,Little St Marks River                   ,29° 45' 20.48 N - 85° 00' 12.69 W,29.755689,85.003525,Active    ,Jan 2017-,FL        ,Apalachicola Bay                                  ,,,-5        ,1,4,S,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth,cDepth"
11,apa                                               ,apacpnut  ,Cat Point                               ,29° 42' 7.68 N - 84° 52' 48.72 W,29.7021,84.8802,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,P,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
12,apa                                               ,apacpwq   ,Cat Point                               ,29° 42' 7.68 N - 84° 52' 48.72 W,29.7021,84.8802,Active    ,Jan 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,1,4,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth,cDepth"
13,apa                                               ,apadbnut  ,Dry Bar                                 ,29° 40' 28.92 N - 85° 3' 29.88 W,29.6747,85.0583,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,P,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
14,apa                                               ,apadbwq   ,Dry Bar                                 ,29° 40' 28.92 N - 85° 3' 29.88 W,29.6747,85.0583,Active    ,Jan 2002-,fl        ,Apalachicola Bay                                  ,R         ,3B00CCB6  ,-5        ,1,4,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth,cDepth,ChlFluor"
15,apa                                               ,apaebmet  ,East Bay                                ,29° 46' 9.78 N - 84° 52' 53.35 W,29.7693833,84.8814861,Active    ,Jan 2001-,fl        ,Apalachicola Bay                                  ,R         ,3B01C09E  ,-5        ,0,4,P,"ATemp,RH,BP,WSpd,MaxWSpd,MaxWSpdT,Wdir,SDWDir,TotPAR,TotPrcp,CumPrcp"
16,apa                                               ,apaebnut  ,East Bay Bottom                         ,29° 47' 8.88 N - 84° 52' 30.72 W,29.7858,84.8752,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,P,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
17,apa                                               ,apaebwq   ,East Bay Bottom                         ,29° 47' 8.88 N - 84° 52' 30.72 W,29.7858,84.8752,Active    ,May 1995-,fl        ,Apalachicola Bay                                  ,R         ,3B02D4E6  ,-5        ,1,4,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth,cDepth"
18,apa                                               ,apaegnut  ,East Bay Bridge                         ,29° 43' 50.88 N - 84° 56' 42.72 W,29.7308,84.9452,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
19,apa                                               ,apaesnut  ,East Bay Surface                        ,29° 47' 8.88 N - 84° 52' 30.72 W,29.7858,84.8752,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,P,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
20,apa                                               ,apaeswq   ,East Bay Surface                        ,29° 47' 8.88 N - 84° 52' 30.72 W,29.7858,84.8752,Active    ,Apr 1995-,fl        ,Apalachicola Bay                                  ,,,-5        ,1,4,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
21,apa                                               ,apambnut  ,Mid Bay                                 ,29° 40' 3.72 N - 84° 59' 38.40 W,29.6677,84.994,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
22,apa                                               ,apanhnut  ,Nicks Hole                              ,29° 39' 1.44 N - 84° 55' 44.04 W,29.6504,84.9289,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
23,apa                                               ,apapcnut  ,Pilots Cove                             ,29° 36' 28.44 N - 85° 1' 10.56 W,29.6079,85.0196,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
24,apa                                               ,aparvnut  ,River                                   ,29° 46' 44.76 N - 85° 2' 36.24 W,29.7791,85.0434,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
25,apa                                               ,apascnut  ,Sikes Cut                               ,29° 36' 24.12 N - 84° 56' 48.12 W,29.6067,84.9467,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
26,apa                                               ,apawpnut  ,West Pass                               ,29° 38' 16.44 N - 85° 5' 20.40 W,29.6379,85.089,Active    ,Apr 2002-,fl        ,Apalachicola Bay                                  ,,,-5        ,2,4,S,"PO4F,NH4F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,PH_N,SALT_N,SECCHI,TKN,TN,TP,TSS,TURB_N,UNCCHLA_N,TDN,TDP,COLOR,NO2F,NO3F"
500,apa                                               ,apabpwq   ,Butcher Pen                             ,29° 48' 11.83 N - 84° 58' 1.69 W,29.8032861,84.967136,Active    ,Aug 2020-,FL        ,Apalachicola Bay                                  ,,,-5        ,1,4,S,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth,cDepth"
498,cbm                                               ,cbmmbnut  ,Monie Bay                               ,38° 12' 30.78 N - 75° 48' 16.50 W,38.20855,75.804583,Active    ,Jan 2020-,MD        ,Chesapeake Bay                                    ,,,-5        ,2,1,S,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DON,DOP,PHEA,TDN,TDP,TSS,TVS"
27,cbm                                               ,cbmipnut  ,Iron Pot Landing                        ,38° 47' 45.60 N - 76° 43' 14.88 W,38.796,76.7208,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DON,DOP,PHEA,TDN,TDP,TSS,TVS,POC,PON,PHOSP,SIO4F,TN,TP"
28,cbm                                               ,cbmipwq   ,Iron Pot Landing                        ,38° 47' 45.60 N - 76° 43' 14.88 W,38.796,76.7208,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor"
29,cbm                                               ,cbmjbmet  ,Jug Bay                                 ,38° 46' 50.76 N - 76° 42' 29.52 W,38.7807667,76.7082000,Active    ,Jul 2003-,md        ,Chesapeake Bay                                    ,R         ,3B0071EA  ,-5        ,0,1,P,"ATemp,RH,BP,WSpd,MaxWSpd,MaxWSpdT,Wdir,SDWDir,TotPAR,TotPrcp,CumPrcp"
30,cbm                                               ,cbmjbwq   ,Jug Bay                                 ,38° 46' 45.12 N - 76° 42' 27.72 W,38.7792,76.7077,Inactive  ,Jul 1995-Dec 2002,md        ,Chesapeake Bay                                    ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,pH,Turb"
31,cbm                                               ,cbmmcnut  ,Mataponi Creek                          ,38° 44' 35.88 N - 76° 42' 26.64 W,38.7433,76.7074,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DON,DOP,PHEA,TDN,TDP,TSS,TVS,POC,PON,PHOSP,SIO4F,TN,TP"
32,cbm                                               ,cbmmcwq   ,Mataponi Creek                          ,38° 44' 35.88 N - 76° 42' 26.64 W,38.7433,76.7074,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor"
33,cbm                                               ,cbmocnut  ,Otter Point Creek                       ,39° 27' 2.52 N - 76° 16' 28.56 W,39.4507,76.2746,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DON,DOP,PHEA,TDN,TDP,TSS,TVS,POC,PON,PHOSP,SIO4F,TN,TP"
34,cbm                                               ,cbmocwq   ,Otter Point Creek                       ,39° 27' 2.52 N - 76° 16' 28.56 W,39.4507,76.2746,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,R         ,3B03D61C  ,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor"
35,cbm                                               ,cbmprwq   ,Patuxent River                          ,38° 46' 23.52 N - 76° 42' 32.76 W,38.7732,76.7091,Inactive  ,Jul 1995-Dec 2002,md        ,Chesapeake Bay                                    ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,pH,Turb"
36,cbm                                               ,cbmrrnut  ,Railroad                                ,38° 46' 52.68 N - 76° 42' 49.32 W,38.7813,76.7137,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DON,DOP,PHEA,TDN,TDP,TSS,TVS,POC,PON,PHOSP,SIO4F,TN,TP"
37,cbm                                               ,cbmrrwq   ,Railroad                                ,38° 46' 52.68 N - 76° 42' 49.32 W,38.7813,76.7137,Active    ,Apr 2003-,md        ,Chesapeake Bay                                    ,R         ,3B00629C  ,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor"
491,cbm                                               ,cbmmbwq   ,Monie Bay                               ,38° 12' 30.78 N - 75° 48' 16.50 W,38.20855,75.804583,Active    ,Jan 2020-,MD        ,Chesapeake Bay                                    ,,,-5        ,1,1,S,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor"
480,cbv                                               ,cbvspwq   ,Sweethall Pier                          ,37° 34' 17.03 N - 76° 53' 02.36 W,37.571398,76.883990,Active    ,Nov 2016-,VA        ,Chesapeake Bay                                    ,R         ,3B03B3FA  ,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
481,cbv                                               ,cbvspnut  ,Sweethall Pier                          ,37° 34' 17.03 N - 76° 53' 02.36 W,37.571398,76.883990,Active    ,Nov 2016-,VA        ,Chesapeake Bay                                    ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,SALT_N,DON,DOP,TDN,TDP"
38,cbv                                               ,cbvcbnut  ,Claybank                                ,37° 20' 47.99 N - 76° 36' 40.55 W,37.346665,76.611263,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,SALT_N,DON,DOP,TDN,TDP"
39,cbv                                               ,cbvcbwq   ,Claybank                                ,37° 20' 47.99 N - 76° 36' 40.55 W,37.346665,76.611263,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
40,cbv                                               ,cbvcinut  ,Catlett Islands                         ,37° 17' 60.00 N - 76° 32' 60.00 W,37.30000,76.55000,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,S,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,SALT_N,DON,DOP,TDN,TDP"
41,cbv                                               ,cbvginut  ,Goodwin Islands                         ,37° 12' 56.87 N - 76° 23' 33.63 W,37.215796,76.392675,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,SALT_N,DON,DOP,TDN,TDP"
42,cbv                                               ,cbvgiwq   ,Goodwin Islands                         ,37° 12' 56.87 N - 76° 23' 33.63 W,37.215796,76.392675,Active    ,Oct 1997-,va        ,Chesapeake Bay                                    ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
43,cbv                                               ,cbvshnut  ,Sweethall                               ,37° 34' 16.97 N - 76° 53' 3.26 W,37.57138,76.88424,Inactive  ,Jan 2002-Nov 2016,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DON,DOP,DO_N,DO_S_N,PHEA,SALT_N,TDN,TDP"
44,cbv                                               ,cbvshwq   ,Sweethall                               ,37° 34' 16.97 N - 76° 53' 3.26 W,37.57138,76.88424,Inactive  ,Jan 2002-Nov 2016,va        ,Chesapeake Bay                                    ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb"
45,cbv                                               ,cbvtcmet  ,Taskinas Creek                          ,37° 24' 50.76 N - 76° 42' 44.53 W,37.4141,76.71237,Active    ,Jan 2001-,va        ,Chesapeake Bay                                    ,R         ,3B009218  ,-5        ,0,1,P,"ATemp,RH,BP,WSpd,MaxWSpd,MaxWSpdT,Wdir,SDWDir,TotPAR,TotPrcp,CumPrcp"
46,cbv                                               ,cbvtcnut  ,Taskinas Creek                          ,37° 24' 53.95 N - 76° 42' 51.91 W,37.414986,76.71442,Active    ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DO_N,DO_S_N,PHEA,SALT_N,DON,DOP,TDN,TDP"
47,cbv                                               ,cbvtcwq   ,Taskinas Creek                          ,37° 24' 53.95 N - 76° 42' 51.91 W,37.414986,76.71442,Active    ,Sep 1995-,va        ,Chesapeake Bay                                    ,R         ,3B00816E  ,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor"
48,cbv                                               ,cbvybnut  ,York River Bridge                       ,37° 14' 41.64 N - 76° 30' 18.72 W,37.2449,76.5052,Inactive  ,Jan 2002-,va        ,Chesapeake Bay                                    ,,,-5        ,2,1,S,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,DON,DO_N,DO_S_N,PHEA,SALT_N,TDN,TDP,DOP"
49,del                                               ,delbbnut  ,Beaver Branch                           ,39° 24' 8.64 N - 75° 37' 40.80 W,39.4024,75.628,Active    ,Feb 2002-,de        ,Delaware                                          ,,,-5        ,2,1,S,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,PHEA,SIO4F"
50,del                                               ,delblnut  ,Blackbird Landing                       ,39° 23' 19.54 N - 75° 38' 9.60 W,39.38876,75.63600,Active    ,Jan 2002-,de        ,Delaware                                          ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,PHEA,SIO4F"
51,del                                               ,delblwq   ,Blackbird Landing                       ,39° 23' 19.54 N - 75° 38' 9.60 W,39.38876,75.63600,Active    ,Aug 1995-,de        ,Delaware                                          ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth"
52,del                                               ,deldsnut  ,Division Street                         ,39° 9' 49.32 N - 75° 31' 8.76 W,39.1637,75.5191,Active    ,Jan 2002-,de        ,Delaware                                          ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,PHEA,SIO4F"
53,del                                               ,deldswq   ,Division Street                         ,39° 9' 49.32 N - 75° 31' 8.76 W,39.1637,75.5191,Active    ,Jan 2002-,de        ,Delaware                                          ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth"
54,del                                               ,delllnut  ,Lebanon Landing                         ,39° 6' 51.84 N - 75° 29' 57.12 W,39.1144,75.4992,Active    ,Jan 2002-,de        ,Delaware                                          ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,PHEA,SIO4F"
55,del                                               ,delllwq   ,Lebanon Landing                         ,39° 6' 51.84 N - 75° 29' 57.12 W,39.1144,75.4992,Active    ,Jan 2002-,de        ,Delaware                                          ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth"
56,del                                               ,delpbwq   ,Penrose Branch                          ,39° 9' 52.92 N - 75° 39' 1.44 W,39.1647,75.6504,Inactive  ,Jun 1996-Dec 2001,de        ,Delaware                                          ,,,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,pH,Turb"
57,del                                               ,delsjmet  ,Saint Jones River                       ,39° 5' 20.05 N - 75° 26' 12.78 W,39.0889028,75.4368833,Active    ,Jan 2001-,de        ,Delaware                                          ,R         ,3B00F7FE  ,-5        ,0,1,P,"ATemp,RH,BP,WSpd,MaxWSpd,MaxWSpdT,Wdir,SDWDir,TotPAR,TotPrcp,CumPrcp"
58,del                                               ,delslnut  ,Scotton Landing                         ,39° 5' 5.93 N - 75° 27' 38.09 W,39.08498,75.46058,Active    ,Jan 2002-,de        ,Delaware                                          ,,,-5        ,2,1,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,PHEA,SIO4F"
59,del                                               ,delslwq   ,Scotton Landing                         ,39° 5' 5.93 N - 75° 27' 38.09 W,39.08498,75.46058,Active    ,Jul 1995-,de        ,Delaware                                          ,R         ,3B00E488  ,-5        ,1,1,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth"
340,del                                               ,deltbnut  ,Taylor's Bridge                         ,39° 24' 17.6 N - 75° 35' 58.4 W,39.4049,75.5996,Active    ,Jan 2007-,de        ,Delaware                                          ,,,-5        ,2,1,S,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,PHEA,SIO4F"
60,elk                                               ,elkapnut  ,Azevedo Pond                            ,36° 50' 44.52 N - 121° 45' 13.68 W,36.8457,121.7538,Active    ,Apr 2002-,ca        ,Elkhorn Slough                                    ,,,-8        ,2,6,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,SIO4F,PHEA"
61,elk                                               ,elkapwq   ,Azevedo Pond                            ,36° 50' 44.52 N - 121° 45' 13.68 W,36.8457,121.7538,Active    ,Jun 1995-,ca        ,Elkhorn Slough                                    ,R         ,3B053520  ,-8        ,1,6,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth,cDepth"
62,elk                                               ,elkcwmet  ,Caspian Weather Station                 ,36° 45' 55.57 N - 121° 44' 17.32 W,36.8154361,121.7381444,Active    ,Jan 2001-,ca        ,Elkhorn Slough                                    ,R         ,3B0155FC  ,-8        ,0,6,P,"ATemp,RH,BP,WSpd,MaxWSpd,MaxWSpdT,Wdir,SDWDir,TotPAR,TotPrcp,CumPrcp"
63,elk                                               ,elknmnut  ,North Marsh                             ,36° 50' 4.56 N - 121° 44' 18.24 W,36.8346,121.7384,Active    ,Apr 2002-,ca        ,Elkhorn Slough                                    ,,,-8        ,2,6,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,SIO4F,PHEA"
64,elk                                               ,elknmwq   ,North Marsh                             ,36° 50' 4.56 N - 121° 44' 18.24 W,36.8346,121.7384,Active    ,Apr 1999-,ca        ,Elkhorn Slough                                    ,R         ,3B0543B0  ,-8        ,1,6,P,"Temp,SpCond,Sal,DO_pct,DO_mgl,Level,cLevel,pH,Turb,Depth,cDepth"
65,elk                                               ,elksmnut  ,South Marsh                             ,36° 49' 4.44 N - 121° 44' 21.84 W,36.8179,121.7394,Active    ,Apr 2002-,ca        ,Elkhorn Slough                                    ,,,-8        ,2,6,P,"PO4F,NH4F,NO2F,NO3F,NO23F,CHLA_N,DIN,SIO4F,PHEA"
